管理番号,登録年月日,設計書コード,実施年度,管轄土木事務所,管轄事務所コード,ボーリング業者,市町村,市町村コード,大字,ボーリング名,完了,ボーリング連番,採取日,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,測地系,孔口標高（m）,掘進長（m）,柱状図区分,関連ファイル名,緯度(10進),経度(10進),市町村(逆ジオコード),区域(逆ジオコード)
11710003301,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-1,2006/1/31,1,2005/9/7,36,20,27.5817,139,26,22.3488,世界測地系,53.28,5.1,土質,11710003301.pdf,36.341016,139.439348,足利市,西宮町
11710003302,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-2,2006/1/31,2,2005/9/10,36,20,27.6574,139,26,21.6533,世界測地系,44.5,7.45,土質,11710003302.pdf,36.341506,139.43963,足利市,西宮町
11710003303,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-3,2006/1/31,3,2005/9/19,36,20,29.4216,139,26,22.6667,世界測地系,48,5.45,土質,11710003303.pdf,36.341781,139.439609,足利市,西宮町
11710003304,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-4,2006/1/31,4,2005/9/23,36,20,30.4101,139,26,22.5921,世界測地系,50.18,5.45,土質,11710003304.pdf,36.341813,139.439578,足利市,西宮町
11710003305,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-5,2006/1/31,5,2005/9/21,36,20,30.5273,139,26,22.4824,世界測地系,55.29,6,土質,11710003305.pdf,36.342414,139.439764,足利市,西宮町
11710003306,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-6,2006/1/31,6,2005/9/28,36,20,32.6902,139,26,23.1513,世界測地系,56.62,5,土質,11710003306.pdf,36.342736,139.440003,足利市,西宮町
11710003307,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-7,2006/1/31,7,2005/9/23,36,20,33.8501,139,26,24.012,世界測地系,61.44,7.45,土質,11710003307.pdf,36.343139,139.439762,足利市,西宮町
11710003308,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-8,2006/1/31,8,2005/9/16,36,20,35.3005,139,26,23.1419,世界測地系,68.36,5.45,土質,11710003308.pdf,36.343106,139.439616,足利市,西宮町
11710003309,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-9,2006/1/31,9,2005/9/17,36,20,35.1821,139,26,22.6177,世界測地系,200.82,11.12,土質,11710003309.pdf,36.616111,139.808333,宇都宮市,田下町
11801031401,2009/5/8,118010314,平成18年度,栃木県宇都宮土木事務所,1,富士コンサルタンツ株式会社,,9201,,B-1,2007/3/24,1,2007/1/27,36,36,58,139,48,30,世界測地系,200.64,9.07,土質,11801031401.pdf,36.616389,139.800833,宇都宮市,福岡町
