自治体名,自治体コード,施設・場所名,ふりがな,住所,管理担当連絡先,異常な現象：洪水,異常な現象：崖崩れ、土石流及び地滑り,異常な現象：高潮,異常な現象：地震,異常な現象：津波,異常な現象：大規模な火事,異常な現象：内水氾濫,異常な現象：火山現象,指定避難所との重複指定,想定収容人数,緯度（度：世界測地系）,経度（度：世界測地系）,その他
佐野市,92045,佐野小学校,さのしょうがっこう,佐野市金屋下町10,0283-23-0374,1,1,,1,,1,1,,1,"1,290",36.31094252,139.5812809,
佐野市,92045,天明小学校,てんみょうしょうがっこう,佐野市大祝町2311,0283-23-0237,1,1,,1,,1,1,,1,"1,250",36.30914826,139.5767032,
佐野市,92045,西中学校,にしちゅうがっこう,佐野市大橋町2026,0283-23-3381,1,1,,1,,1,1,,1,"1,530",36.31468054,139.5618849,
佐野市,92045,佐野地区公民館,さのちくこうみんかん,佐野市金井上町2519,0283-24-5771,1,1,,1,,1,1,,1,490,36.31194135,139.5721851,
佐野市,92045,佐野駅前交流プラザ(ぱるぽーと),さのえきまえこうりゅうぷらざ,佐野市若松町481-4,0283-27-0005,1,1,,1,,1,1,,1,170,36.31650656,139.5790368,
佐野市,92045,植野小学校,うえのしょうがっこう,佐野市植上町1272,0283-23-0711,1,1,,1,,1,1,,1,"1,460",36.30062928,139.5764767,
佐野市,92045,南中学校,みなみちゅうがっこう,佐野市植下町1205,0283-23-0869,1,1,,1,,1,1,,1,"1,530",36.29978379,139.5822009,
佐野市,92045,旧船津川小学校,きゅうふなつがわしょうがっこう,佐野市船津川町6001,,1,1,,1,,1,1,,1,520,36.27101008,139.5658866,
佐野市,92045,植野地区公民館,うえのちくこうみんかん,佐野市寺中町2297-1,0283-23-5421,1,1,,1,,1,1,,1,400,36.30157694,139.576127,
佐野市,92045,界小学校,さかいしょうがっこう,佐野市馬門町1539,0283-23-0819,1,1,,1,,1,1,,1,940,36.28547026,139.5991744,
佐野市,92045,界地区公民館,さかいちくこうみんかん,佐野市馬門町1510-1,0283-22-0400,1,1,,1,,1,1,,1,270,36.28532417,139.6011236,
佐野市,92045,犬伏小学校,いぬぶししょうがっこう,佐野市犬伏下町1983,0283-23-0770,1,1,,1,,1,1,,1,"1,370",36.32429058,139.5990104,
佐野市,92045,犬伏東小学校,いぬぶしひがししょうがっこう,佐野市伊勢山町1534,0283-24-2887,1,1,,1,,1,1,,1,"1,060",36.31785193,139.6108716,
佐野市,92045,北中学校,きたちゅうがっこう,佐野市富岡町93,0283-23-0961,1,1,,1,,1,1,,1,"2,090",36.3213491,139.5897228,
佐野市,92045,犬伏地区公民館,いぬぶしちくこうみんかん,佐野市犬伏下町1798,0283-23-8137,1,1,,1,,1,1,,1,440,36.32235559,139.6019011,
佐野市,92045,城北小学校,じょうほくしょうがっこう,佐野市堀米町1156,0283-23-0319,1,1,,1,,1,1,,1,"1,660",36.32406189,139.5802484,
佐野市,92045,城北地区公民館,じょうほくちくこうみんかん,佐野市堀米町1173,0283-24-5772,1,1,,1,,1,1,,1,420,36.32494459,139.579946,
佐野市,92045,佐野武道館,さのぶどうかん,佐野市堀米町167-1,0283-21-0020,,1,,1,,1,,,1,390,36.32114586,139.5824034,
佐野市,92045,旗川小学校,はたがわしょうがっこう,佐野市並木町964,0283-23-0178,1,1,,1,,1,1,,1,830,36.32441568,139.549946,
佐野市,92045,旗川地区公民館,はたがわちくこうみんかん,佐野市並木町957-1,0283-22-0074,1,1,,1,,1,1,,1,260,36.32500653,139.5506572,
佐野市,92045,吾妻小学校,あづましょうがっこう,佐野市上羽田町1369-1,0283-22-3992,1,1,,1,,1,1,,1,860,36.29672755,139.541326,
佐野市,92045,教育センター,きょういくせんたー,佐野市上羽田町1134-1,0283-20-3108,1,1,,1,,1,1,,1,360,36.29552184,139.5413676,
佐野市,92045,吾妻地区公民館,あづまちくこうみんかん,佐野市村上町9,0283-23-6903,,1,,1,,1,,,1,220,36.29580611,139.5402288,
佐野市,92045,赤見小学校,あかみしょうがっこう,佐野市赤見町3229,0283-25-0704,1,1,,1,,1,1,,1,810,36.35272579,139.5401082,
佐野市,92045,石塚小学校,いしづかしょうがっこう,佐野市石塚町1408-2,0283-25-0314,1,1,,1,,1,1,,1,"1,120",36.35521113,139.5609792,
佐野市,92045,出流原小学校,いずるはらしょうがっこう,佐野市出流原町1038-1,0283-25-0324,1,1,,1,,1,1,,1,590,36.36430081,139.5404987,
佐野市,92045,赤見中学校,あかみちゅうがっこう,佐野市出流原町628-1,0283-25-0804,1,1,,1,,1,1,,1,"1,340",36.3608915,139.5496496,
佐野市,92045,赤見地区公民館,あかみちくこうみんかん,佐野市赤見町3082,0283-25-3014,1,1,,1,,1,1,,1,390,36.35195491,139.5391079,
佐野市,92045,田沼小学校,たぬましょうがっこう,佐野市田沼町603,0283-62-0047,1,1,,1,,1,1,,1,"1,350",36.36621911,139.57661,
佐野市,92045,田沼東中学校,たぬまひがしちゅうがっこう,佐野市栃本町2287,0283-62-3333,1,1,,1,,1,1,,1,"1,700",36.36390031,139.5798948,
佐野市,92045,田沼中央公民館,たぬまちゅうおうこうみんかん,佐野市戸奈良町1-1,0283-61-1135,1,1,,1,,1,1,,1,870,36.37475709,139.5689779,
佐野市,92045,田沼地区公民館,たぬまちくこうみんかん,佐野市栃本町2384-3,0283-62-5882,,1,,1,,1,,,1,130,36.3627703,139.5767284,
佐野市,92045,吉水小学校,よしみずしょうがっこう,佐野市吉水町832,0283-62-0142,1,1,,1,,1,1,,1,840,36.35080851,139.5732688,
佐野市,92045,新吉水地区コミュニティセンター,しんよしみずちくこみゅにてぃせんたー,佐野市吉水駅前1-19-6,0283-62-4211,,1,,1,,1,,,1,90,36.34755424,139.5772063,
佐野市,92045,多田小学校,ただしょうがっこう,佐野市多田町998,0283-62-0179,1,1,,1,,1,1,,1,690,36.38121338,139.5971541,
佐野市,92045,栃本小学校,とちもとしょうがっこう,佐野市栃本町1037,0283-62-0152,1,1,,1,,1,1,,1,560,36.36059031,139.5899054,
佐野市,92045,栃本地区コミュニティセンター,とちもとちくこみゅにてぃせんたー,佐野市栃本町2047-5,0283-62-6045,,1,,1,,1,,,1,60,36.37786741,139.5577182,
佐野市,92045,旧戸奈良小学校,きゅうとならしょうがっこう,佐野市戸奈良町1140,,1,1,,1,,1,1,,1,550,36.3985008,139.5708721,
佐野市,92045,旧三好小学校,きゅうみよししょうがっこう,佐野市岩崎町1341,,1,1,,1,,1,1,,1,590,36.37994345,139.5712,
佐野市,92045,あそ野学園義務教育学校,あそのがくえんぎむきょういくがっこう,佐野市戸室町156,0283-62-3111,1,1,,1,,1,1,,1,"1,290",36.39324807,139.5743427,
佐野市,92045,三好生活改善センター,みよしせいかつかいぜんせんたー,佐野市戸室町1183,,,1,,1,,1,,,1,120,36.43661524,139.5389019,
佐野市,92045,旧野上小学校,きゅうのがみしょうがっこう,佐野市長谷場町499,,,,,1,,1,,,1,550,36.45939816,139.5214648,
佐野市,92045,野上基幹集落センター,のがみきかんしゅうらくせんたー,佐野市白岩町486-1,0283-67-1233,1,1,,1,,1,1,,1,180,36.40099366,139.5208718,
佐野市,92045,旧山形小学校,きゅうやまがたしょうがっこう,佐野市山形町649-2,,1,1,,1,,1,1,,1,550,36.4008148,139.5182801,
