自治体名,自治体コード,施設名,ふりがな,住所,管理担当連絡先,指定緊急避難場所との重複指定,福祉避難所,想定収容人数,緯度（度：世界測地系）,経度(度：世界測地系）
佐野市,92045,佐野小学校,さのしょうがっこう,佐野市金屋下町10,0283-23-0374,1,,"1,290",36.31094252,139.5812809
佐野市,92045,天明小学校,てんみょうしょうがっこう,佐野市大祝町2311,0283-23-0237,1,,"1,250",36.30914826,139.5767032
佐野市,92045,西中学校,にしちゅうがっこう,佐野市大橋町2026,0283-23-3381,1,,"1,530",36.31468054,139.5618849
佐野市,92045,佐野地区公民館,さのちくこうみんかん,佐野市金井上町2519,0283-24-5771,1,,490,36.31194135,139.5721851
佐野市,92045,佐野駅前交流プラザ(ぱるぽーと),さのえきまえこうりゅうぷらざ,佐野市若松町481-4,0283-27-0005,1,,170,36.31650656,139.5790368
佐野市,92045,植野小学校,うえのしょうがっこう,佐野市植上町1272,0283-23-0711,1,,"1,460",36.30062928,139.5764767
佐野市,92045,南中学校,みなみちゅうがっこう,佐野市植下町1205,0283-23-0869,1,,"1,530",36.29978379,139.5822009
佐野市,92045,旧船津川小学校,きゅうふなつがわしょうがっこう,佐野市船津川町6001,,1,,520,36.27101008,139.5658866
佐野市,92045,植野地区公民館,うえのちくこうみんかん,佐野市寺中町2297-1,0283-23-5421,1,,400,36.30157694,139.576127
佐野市,92045,界小学校,さかいしょうがっこう,佐野市馬門町1539,0283-23-0819,1,,940,36.28547026,139.5991744
佐野市,92045,界地区公民館,さかいちくこうみんかん,佐野市馬門町1510-1,0283-22-0400,1,,270,36.28532417,139.6011236
佐野市,92045,犬伏小学校,いぬぶししょうがっこう,佐野市犬伏下町1983,0283-23-0770,1,,"1,370",36.32429058,139.5990104
佐野市,92045,犬伏東小学校,いぬぶしひがししょうがっこう,佐野市伊勢山町1534,0283-24-2887,1,,"1,060",36.31785193,139.6108716
佐野市,92045,北中学校,きたちゅうがっこう,佐野市富岡町93,0283-23-0961,1,,"2,090",36.3213491,139.5897228
佐野市,92045,犬伏地区公民館,いぬぶしちくこうみんかん,佐野市犬伏下町1798,0283-23-8137,1,,440,36.32235559,139.6019011
佐野市,92045,城北小学校,じょうほくしょうがっこう,佐野市堀米町1156,0283-23-0319,1,,"1,660",36.32406189,139.5802484
佐野市,92045,城北地区公民館,じょうほくちくこうみんかん,佐野市堀米町1173,0283-24-5772,1,,420,36.32494459,139.579946
佐野市,92045,佐野武道館,さのぶどうかん,佐野市堀米町167-1,0283-21-0020,1,,390,36.32114586,139.5824034
佐野市,92045,旗川小学校,はたがわしょうがっこう,佐野市並木町964,0283-23-0178,1,,830,36.32441568,139.549946
佐野市,92045,旗川地区公民館,はたがわちくこうみんかん,佐野市並木町957-1,0283-22-0074,1,,260,36.32500653,139.5506572
佐野市,92045,吾妻小学校,あづましょうがっこう,佐野市上羽田町1369-1,0283-22-3992,1,,860,36.29672755,139.541326
佐野市,92045,教育センター,きょういくせんたー,佐野市上羽田町1134-1,0283-20-3108,1,,360,36.29552184,139.5413676
佐野市,92045,吾妻地区公民館,あづまちくこうみんかん,佐野市村上町9,0283-23-6903,1,,220,36.29580611,139.5402288
佐野市,92045,赤見小学校,あかみしょうがっこう,佐野市赤見町3229,0283-25-0704,1,,810,36.35272579,139.5401082
佐野市,92045,石塚小学校,いしづかしょうがっこう,佐野市石塚町1408-2,0283-25-0314,1,,"1,120",36.35521113,139.5609792
佐野市,92045,出流原小学校,いずるはらしょうがっこう,佐野市出流原町1038-1,0283-25-0324,1,,590,36.36430081,139.5404987
佐野市,92045,赤見中学校,あかみちゅうがっこう,佐野市出流原町628-1,0283-25-0804,1,,"1,340",36.3608915,139.5496496
佐野市,92045,赤見地区公民館,あかみちくこうみんかん,佐野市赤見町3082,0283-25-3014,1,,390,36.35195491,139.5391079
佐野市,92045,田沼小学校,たぬましょうがっこう,佐野市田沼町603,0283-62-0047,1,,"1,350",36.36621911,139.57661
佐野市,92045,田沼東中学校,たぬまひがしちゅうがっこう,佐野市栃本町2287,0283-62-3333,1,,"1,700",36.36390031,139.5798948
佐野市,92045,田沼中央公民館,たぬまちゅうおうこうみんかん,佐野市戸奈良町1-1,0283-61-1135,1,,870,36.37475709,139.5689779
佐野市,92045,田沼地区公民館,たぬまちくこうみんかん,佐野市栃本町2384-3,0283-62-5882,1,,130,36.3627703,139.5767284
佐野市,92045,吉水小学校,よしみずしょうがっこう,佐野市吉水町832,0283-62-0142,1,,840,36.35080851,139.5732688
佐野市,92045,新吉水地区コミュニティセンター,しんよしみずちくこみゅにてぃせんたー,佐野市吉水駅前1-19-6,0283-62-4211,1,,90,36.34755424,139.5772063
佐野市,92045,多田小学校,ただしょうがっこう,佐野市多田町998,0283-62-0179,1,,690,36.38121338,139.5971541
佐野市,92045,栃本小学校,とちもとしょうがっこう,佐野市栃本町1037,0283-62-0152,1,,560,36.36059031,139.5899054
佐野市,92045,栃本地区コミュニティセンター,とちもとちくこみゅにてぃせんたー,佐野市栃本町2047-5,0283-62-6045,1,,60,36.37786741,139.5577182
佐野市,92045,旧戸奈良小学校,きゅうとならしょうがっこう,佐野市戸奈良町1140,,1,,550,36.3985008,139.5708721
佐野市,92045,旧三好小学校,きゅうみよししょうがっこう,佐野市岩崎町1341,,1,,590,36.37994345,139.5712
佐野市,92045,あそ野学園義務教育学校,あそのがくえんぎむきょういくがっこう,佐野市戸室町156,0283-62-3111,1,,"1,290",36.39324807,139.5743427
佐野市,92045,三好生活改善センター,みよしせいかつかいぜんせんたー,佐野市戸室町1183,,1,,120,36.43661524,139.5389019
佐野市,92045,旧野上小学校,きゅうのがみしょうがっこう,佐野市長谷場町499,,1,,550,36.45939816,139.5214648
佐野市,92045,野上基幹集落センター,のがみきかんしゅうらくせんたー,佐野市白岩町486-1,0283-67-1233,1,,180,36.40099366,139.5208718
佐野市,92045,旧山形小学校,きゅうやまがたしょうがっこう,佐野市山形町649-2,,1,,550,36.4008148,139.5182801
佐野市,92045,新合総合センター,しんごうそうごうせんたー,佐野市閑馬町361-1,0283-65-0002,1,,200,36.45530333,139.4655603
佐野市,92045,遠原の里福祉センター,とおばらのさとふくしせんたー,佐野市閑馬町515-3,0283-65-7071,1,,40,36.4546576,139.4672095
佐野市,92045,旧飛駒小学校,きゅうひこましょうがっこう,佐野市飛駒町1497,,1,,560,36.38581464,139.6044403
佐野市,92045,飛駒基幹集落センター,ひこまきかんしゅうらくせんたー,佐野市飛駒町1576-2,0283-66-2002,1,,220,36.40441062,139.6086971
佐野市,92045,葛生南小学校,くずうみなみしょうがっこう,佐野市中町1104,0283-85-2101,1,,680,36.41089248,139.6106164
佐野市,92045,葛生小学校,くずうしょうがっこう,佐野市葛生西1-12-1,0283-85-2040,1,,970,36.40175364,139.6116068
佐野市,92045,葛生中学校,くずうちゅうがっこう,佐野市葛生西3-4-1,0283-85-2169,1,,"1,610",36.42297646,139.6272777
佐野市,92045,葛生地区公民館,くずうちくこうみんかん,佐野市葛生東1-11-15,0283-86-3414,1,,100,36.40245254,139.6138318
佐野市,92045,会沢地区コミュニティセンター,あいさわちくこみゅにてぃせんたー,佐野市会沢町681,0283-85-2069,1,,230,36.40793128,139.6049747
佐野市,92045,くずう保育園,くずうほいくえん,佐野市葛生東1-15-20,0283-85-2119,1,,300,36.43362274,139.5903727
佐野市,92045,葛生あくと福祉センター,くずうあくとふくしせんたー,佐野市あくと町3084,0283-86-4714,1,,510,36.43083198,139.5937933
佐野市,92045,常盤中学校,ときわちゅうがっこう,佐野市豊代町2167,0283-85-3020,1,,"1,140",36.3598796,139.5869285
佐野市,92045,常盤地区公民館,ときわちくこうみんかん,佐野市仙波町167,0283-85-3657,1,,180,36.38579318,139.5375096
佐野市,92045,氷室地区公民館,ひむろちくこうみんかん,佐野市水木846,0283-87-0004,1,,100,36.48640339,139.5434248
さくら市,9214,氏家小学校,うじいえしょうがっこう,栃木県さくら市氏家2491,028-686-6620,1,,1550,36.686453,139.962833
さくら市,9214,押上小学校,おしあげしょうがっこう,栃木県さくら市長久保814,028-686-6620,1,,930,36.714814,139.946636
さくら市,9214,上松山小学校,かみまつやましょうがっこう,栃木県さくら市氏家3496,028-686-6620,1,,150,36.707262,139.969356
さくら市,9214,熟田小学校,にいたしょうがっこう,栃木県さくら市狹間田1702,028-686-6620,1,,900,36.684995,140.00442
さくら市,9214,南小学校,みなみしょうがっこう,栃木県さくら市氏家1061-3,028-686-6620,1,,850,36.663587,139.962856
さくら市,9214,喜連川小学校,きつれがわしょうがっこう,栃木県さくら市喜連川3911,028-686-6620,1,,1400,36.720706,140.025808
さくら市,9214,鷲宿体育館,わしじゅくたいいくかん,栃木県さくら市鷲宿950,028-682-8888,1,,160,36.750106,139.98771
さくら市,9214,河戸体育館,こうとたいいくかん,栃木県さくら市上河戸1824-2,028-682-8888,1,,130,36.773815,140.003131
さくら市,9214,金鹿体育館,きんかたいいくかん,栃木県さくら市金枝1243-3,028-682-8888,1,,160,36.73466,140.049325
さくら市,9214,穂積体育館,ほづみたいいくかん,栃木県さくら市穂積478,028-682-8888,1,,120,36.762246,140.063269
さくら市,9214,氏家中学校,うじいえちゅうがっこう,栃木県さくら市氏家3243,028-686-6620,1,,2200,36.700721,139.969559
さくら市,9214,喜連川中学校,きつれがわちゅうがっこう,栃木県さくら市喜連川5691,028-686-6620,1,,1200,36.73175,140.033021
さくら市,9214,さくら清修高等学校,さくらせいしゅうこうとうがっこう,栃木県さくら市氏家2807,028-682-4500,1,,2400,36.689564,139.965391
さくら市,9214,氏家公民館,うじいえこうみんかん,栃木県さくら市櫻野1322-8,028-682-1611,1,,600,36.685059,139.968571
さくら市,9214,葛城公民館,かつらぎこうみんかん,栃木県さくら市葛城1455-1,028-681-1111,1,,20,36.705627,140.038206
さくら市,9214,早乙女公民館,そおとめこうみんかん,栃木県さくら市早乙女860,028-681-1111,1,,30,36.715256,140.006747
さくら市,9214,松田多目的集会施設,まつだたもくてきしゅうかいしせつ,栃木県さくら市喜連川2489-1,028-681-1111,1,,20,36.737667,140.008799
さくら市,9214,西河原公民館,にしがわらこうみんかん,栃木県さくら市喜連川2965-1,028-681-1111,1,,20,36.733493,140.002849
さくら市,9214,下河戸南多目的集会施設,しもこうとみなみたもくてきしゅうかいしせつ,栃木県さくら市下河戸328-2,028-681-1111,1,,30,36.759939,140.01881
さくら市,9214,氏家体育館,うじいえたいいくかん,栃木県さくら市氏家2730,028-682-8888,1,,720,36.686043,139.968921
さくら市,9214,氏家図書館,うじいえとしょかん,栃木県さくら市櫻野1321,028-682-9889,1,,210,36.68494,139.967718
さくら市,9214,氏家保健センター,うじいえほけんせんたー,栃木県さくら市櫻野1319-3,028-682-2589,1,,150,36.684645,139.967488
さくら市,9214,喜連川保健センター,きつれがわほけんせんたー,栃木県さくら市喜連川807-8,028-686-1088,1,,190,36.723101,140.030847
さくら市,9214,氏家福祉センター,うじいえふくしせんたー,栃木県さくら市櫻野1329,028-682-9888,1,,150,36.686554,139.970254
さくら市,9214,あおぞら保育園,あおぞらほいくえん,栃木県さくら市草川42,028-681-1125,1,,250,36.681757,139.954236
